uid,i,signo,condicion,metricas_no_recuperadas,articulo_no_identificado,tipo,pmids,motivo_y_siguiente_paso
C00001,0,Caquexia,Neumonía,vpp;vpn,False,hallazgo,6699126,Sin valor predictivo observado recuperado para esta población
C00002,1,Estado mental alterado,Neumonía,vpp;vpn,False,hallazgo,2221647;2745948,Sin valor predictivo observado recuperado para esta población
C00003,2,Matidez a la percusión,Neumonía,vpp;vpn,False,hallazgo,6699126;2221647;2745948,Sin valor predictivo observado recuperado para esta población
C00004,3,Disminución del murmullo vesicular,Neumonía,vpp;vpn,False,hallazgo,2221647;2745948,Sin valor predictivo observado recuperado para esta población
C00005,4,Soplo tubario (respiración bronquial),Neumonía,vpp;vpn,False,hallazgo,2221647,Sin valor predictivo observado recuperado para esta población
C00007,5,Estertores crepitantes,Neumonía,vpp;vpn,False,hallazgo,6699126;2221647;2745948;2642673,Sin valor predictivo observado recuperado para esta población
C00008,6,Sibilancias,Neumonía,vpp;vpn,False,hallazgo,2221647;2745948;2642673,Sin valor predictivo observado recuperado para esta población
C00009,7,Puntaje de Heckerling para neumonía: 0 o 1 hallazgos,Neumonía,ln;vpp;vpn,False,ordinal,2221647;1952308,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00010,8,Puntaje de Heckerling para neumonía: 2 o 3 hallazgos,Neumonía,sp;ln;vpp;vpn,False,ordinal,2221647;1952308,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00011,9,Puntaje de Heckerling para neumonía: 4 o 5 hallazgos,Neumonía,ln;vpp;vpn,False,ordinal,2221647;1952308,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
C00015,10,Mini-Mental ≤20 puntos (interpretación en tres niveles),Demencia y delirium,ln;vpp;vpn,False,ordinal,2666647;4080881;6736981;7100362,Categoría ordinal: no inferir LR−/VPN de un umbral binario; Sin valor predictivo observado recuperado para esta población; Cifra no recuperada para la misma definición; revisar fuente y umbral
